account_id,parent_account_id,account_name,geo,company_type,tier,billing_country
ACC001,,Acme Corporation,North America,Enterprise,Tier 1,USA
ACC002,ACC001,Acme East Division,North America,Enterprise,Tier 1,USA
ACC003,,GlobalTech Inc,Europe,Enterprise,Tier 1,UK
ACC004,,TechStart LLC,North America,SMB,Tier 3,USA
ACC005,,DataCorp Solutions,Asia Pacific,Mid-Market,Tier 2,Singapore
ACC006,ACC003,GlobalTech Germany,Europe,Enterprise,Tier 1,Germany
ACC007,,CloudNine Systems,North America,Mid-Market,Tier 2,Canada
ACC008,,RetailPro Limited,Europe,SMB,Tier 3,France
ACC009,,FinServe Group,North America,Enterprise,Tier 1,USA
ACC010,,MobileTech Partners,Asia Pacific,SMB,Tier 3,Australia
ACC011,,SecureBank AG,Europe,Enterprise,Tier 1,Switzerland
ACC012,ACC001,Acme West Division,North America,Enterprise,Tier 1,USA
ACC013,,HealthCare Analytics,North America,Mid-Market,Tier 2,USA
ACC014,,EduPlatform Inc,Europe,SMB,Tier 3,UK
ACC015,,LogiChain Solutions,Asia Pacific,Mid-Market,Tier 2,Japan
ACC016,,MediaStream Corp,North America,Mid-Market,Tier 2,USA
ACC017,,AgriTech Innovations,Europe,SMB,Tier 3,Netherlands
ACC018,,AutoManufacture Co,Asia Pacific,Enterprise,Tier 1,South Korea
ACC019,,EnergyGrid Systems,North America,Enterprise,Tier 1,USA
ACC020,,InsureTech Partners,Europe,Mid-Market,Tier 2,Ireland
ACC021,,MediaOps Limited,Europe,Mid-Market,Tier 1,Sweden
ACC022,,DigitalMedia Hub Limited,Europe,Enterprise,Tier 1,Germany
ACC023,,BankTech Solutions GmbH,Europe,SMB,Tier 3,Spain
ACC024,,MerchantFlow Solutions,Europe,Mid-Market,Tier 1,Poland
ACC025,,CreditLine Systems Associates,North America,SMB,Tier 2,USA
ACC026,,UtilityMetrics Group,Europe,Mid-Market,Tier 1,UK
ACC027,,GridOps Pro Group,North America,Mid-Market,Tier 2,Mexico
ACC028,,StreamingData Associates,North America,Mid-Market,Tier 1,Canada
ACC029,,MerchantFlow GmbH,Asia Pacific,Mid-Market,Tier 1,India
ACC030,,SupplyChain Pro Technologies,Europe,SMB,Tier 2,Netherlands
ACC031,ACC002,LabResults Pro Corporation,North America,Mid-Market,Tier 2,Canada
ACC032,,CustomerData Inc Associates,Europe,Mid-Market,Tier 1,Sweden
ACC033,,GridOps Pro Associates,North America,SMB,Tier 2,Canada
ACC034,,LabResults Pro LLC,Europe,Enterprise,Tier 1,Poland
ACC035,,NetCore GmbH,Europe,SMB,Tier 2,Poland
ACC036,,BankTech Solutions Limited,North America,SMB,Tier 3,Canada
ACC037,,WealthWise Limited,North America,Enterprise,Tier 1,USA
ACC038,,QualityTrack Systems Systems,North America,Enterprise,Tier 1,Mexico
ACC039,ACC009,CustomerData Inc Solutions,North America,SMB,Tier 3,Canada
ACC040,,UtilityMetrics Technologies,Europe,Mid-Market,Tier 1,Netherlands
ACC041,,EnergyFlow Systems Associates,Europe,SMB,Tier 3,Spain
ACC042,,AudienceTrack Co,North America,SMB,Tier 3,Canada
ACC043,,ManufactureTech LLC,North America,SMB,Tier 3,USA
ACC044,ACC006,DataFlow Associates,Europe,Mid-Market,Tier 2,Germany
ACC045,,CustomerData Inc Co,North America,SMB,Tier 3,Canada
ACC046,ACC034,PharmaTech AG,Europe,SMB,Tier 3,Netherlands
ACC047,,PharmaTech Co,North America,Enterprise,Tier 1,Canada
ACC048,,AssemblyLine Analytics Limited,Europe,SMB,Tier 3,UK
ACC049,,BroadcastPro Solutions,North America,SMB,Tier 3,Canada
ACC050,,StudentData Systems GmbH,Europe,Mid-Market,Tier 1,UK
ACC051,,HealthTrack Solutions Corp,Europe,Enterprise,Tier 1,Netherlands
ACC052,,AssemblyLine Analytics Solutions,Europe,SMB,Tier 3,Spain
ACC053,,PowerGrid Analytics Systems,North America,Mid-Market,Tier 2,Canada
ACC054,,PaymentStream Solutions,North America,Mid-Market,Tier 2,Canada
ACC055,,TrainingTrack Limited,Europe,SMB,Tier 3,Germany
ACC056,,LearningMetrics Partners,North America,Enterprise,Tier 1,Mexico
ACC057,,StoreFront Solutions LLC,North America,Mid-Market,Tier 1,USA
ACC058,,CleanEnergy Hub Solutions,North America,Enterprise,Tier 1,Canada
ACC059,,MediaMetrics AG,Asia Pacific,SMB,Tier 3,Australia
ACC060,ACC038,EduTech Solutions AG,North America,Mid-Market,Tier 1,USA
ACC061,,Campus Analytics Associates,North America,Mid-Market,Tier 2,Canada
ACC062,ACC012,HealthTrack Solutions Associates,North America,Enterprise,Tier 1,Canada
ACC063,,InventoryTrack Group,North America,Mid-Market,Tier 2,Canada
ACC064,,SystemPro Co,North America,SMB,Tier 3,Mexico
ACC065,,PaymentStream Associates,North America,SMB,Tier 3,Mexico
ACC066,,AudienceTrack Associates,Europe,Enterprise,Tier 1,France
ACC067,,RetailMetrics GmbH,Europe,Enterprise,Tier 1,France
ACC068,,E-Commerce Hub Solutions,North America,SMB,Tier 2,Canada
ACC069,,EduTech Solutions Associates,Europe,SMB,Tier 2,Poland
ACC070,,MedFlow Group,Europe,Enterprise,Tier 1,Netherlands
ACC071,ACC051,ManufactureTech Associates,Europe,Mid-Market,Tier 1,Switzerland
ACC072,,LearningMetrics GmbH,North America,SMB,Tier 2,Mexico
ACC073,,ClinicalData Systems Technologies,North America,Mid-Market,Tier 1,Canada
ACC074,,CleanEnergy Hub Solutions,Europe,SMB,Tier 2,Sweden
ACC075,ACC037,Digital Forge GmbH,North America,Enterprise,Tier 1,Canada
ACC076,,HealthTrack Solutions GmbH,Europe,Mid-Market,Tier 2,Switzerland
ACC077,ACC003,InvestTech Inc,Europe,Enterprise,Tier 1,Spain
ACC078,,WellnessData Group,North America,SMB,Tier 3,Canada
ACC079,,WellnessData Systems,North America,SMB,Tier 3,Mexico
ACC080,ACC022,E-Commerce Hub Corporation,Europe,Enterprise,Tier 1,Germany
ACC081,ACC009,AcademicHub Inc,North America,Enterprise,Tier 1,Mexico
ACC082,,HealthFirst Inc,North America,SMB,Tier 3,Mexico
ACC083,,PowerGrid Analytics Group,North America,SMB,Tier 3,Canada
ACC084,,BroadcastPro Technologies,Europe,SMB,Tier 2,Spain
ACC085,,StoreFront Solutions GmbH,North America,SMB,Tier 3,USA
ACC086,,PowerGrid Analytics Co,North America,Mid-Market,Tier 2,USA
